Sample_Name	Weight	Mutation_Info	SJ_File
TCGA-27-2524	4.6479	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-27-2524-01A-01R-1850-01.SJ.out.tab
TCGA-27-2526	4.9721	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-27-2526-01A-01R-1850-01.SJ.out.tab
TCGA-27-2528	5.3751	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-27-2528-01A-01R-1850-01.SJ.out.tab
TCGA-28-1747	5.1632	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-28-1747-01C-01R-1850-01.SJ.out.tab
TCGA-28-1753	2.3392	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-28-1753-01A-01R-1850-01.SJ.out.tab
TCGA-28-2499	5.2634	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-28-2499-01A-01R-1850-01.SJ.out.tab
TCGA-28-2509	5.0014	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-28-2509-01A-01R-1850-01.SJ.out.tab
TCGA-28-2510	4.9408	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-28-2510-01A-01R-1850-01.SJ.out.tab
TCGA-28-2513	4.6319	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-28-2513-01A-01R-1850-01.SJ.out.tab
TCGA-28-2514	5.5505	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-28-2514-01A-02R-1850-01.SJ.out.tab
TCGA-28-5204	4.8026	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-28-5204-01A-01R-1850-01.SJ.out.tab
TCGA-28-5207	4.5821	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-28-5207-01A-01R-1850-01.SJ.out.tab
TCGA-28-5208	5.2345	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-28-5208-01A-01R-1850-01.SJ.out.tab
TCGA-28-5209	5.5464	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-28-5209-01A-01R-1850-01.SJ.out.tab
TCGA-28-5213	2.1993	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-28-5213-01A-01R-1850-01.SJ.out.tab
TCGA-28-5215	6.2003	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-28-5215-01A-01R-1850-01.SJ.out.tab
TCGA-28-5216	4.1168	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-28-5216-01A-01R-1850-01.SJ.out.tab
TCGA-28-5218	4.6704	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-28-5218-01A-01R-1850-01.SJ.out.tab
TCGA-28-5220	4.747	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-28-5220-01A-01R-1850-01.SJ.out.tab
TCGA-32-1970	5.2613	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-32-1970-01A-01R-1850-01.SJ.out.tab
TCGA-32-1980	5.3813	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-32-1980-01A-01R-1850-01.SJ.out.tab
TCGA-32-1982	1.6175	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-32-1982-01A-01R-1850-01.SJ.out.tab
TCGA-32-2615	6.4063	None	/sshare3/home/yshira/mypaper/savnet_paper/analysis/TCGA/data/junction/GBM/TCGA-32-2615-01A-01R-1850-01.SJ.out.tab
